step,active_regime,ttl_steps,transactions,cumulative_transactions,cumulative_entitlement,new_slots_available,selected_this_step,selected_cumulative,expired_this_step,expired_cumulative,pending_after_selection,pending_age_mean_steps,pending_age_p90_steps,pending_age_max_steps
638,1,0,14,37572,187,0,0,187,3373,37371,14,0.0,0.0,0
639,1,0,14,37586,187,0,0,187,14,37385,14,0.0,0.0,0
640,1,0,1398,38984,194,7,7,194,14,37399,1391,0.0,0.0,0
641,1,0,10,38994,194,0,0,194,1391,38790,10,0.0,0.0,0
642,1,0,1141,40135,200,6,6,200,10,38800,1135,0.0,0.0,0
643,1,0,14,40149,200,0,0,200,1135,39935,14,0.0,0.0,0
644,1,0,2267,42416,212,12,12,212,14,39949,2255,0.0,0.0,0
645,2,0,10,42426,212,0,0,212,2255,42204,10,0.0,0.0,0
646,2,0,20,42446,212,0,0,212,10,42214,20,0.0,0.0,0
647,2,0,10,42456,212,0,0,212,20,42234,10,0.0,0.0,0
648,2,0,14,42470,212,0,0,212,10,42244,14,0.0,0.0,0
649,2,0,263,42733,213,1,1,213,14,42258,262,0.0,0.0,0
650,2,0,16,42749,213,0,0,213,262,42520,16,0.0,0.0,0
651,2,0,10,42759,213,0,0,213,16,42536,10,0.0,0.0,0
652,2,0,14,42773,213,0,0,213,10,42546,14,0.0,0.0,0
653,2,0,8,42781,213,0,0,213,14,42560,8,0.0,0.0,0
654,2,0,8,42789,213,0,0,213,8,42568,8,0.0,0.0,0
655,2,0,4,42793,213,0,0,213,8,42576,4,0.0,0.0,0
656,2,0,1965,44758,223,10,10,223,4,42580,1955,0.0,0.0,0
657,2,0,10,44768,223,0,0,223,1955,44535,10,0.0,0.0,0
658,2,0,14,44782,223,0,0,223,10,44545,14,0.0,0.0,0
659,2,0,2500,47282,236,13,13,236,14,44559,2487,0.0,0.0,0
660,2,0,12,47294,236,0,0,236,2487,47046,12,0.0,0.0,0
661,2,0,4877,52171,260,24,24,260,12,47058,4853,0.0,0.0,0
662,2,0,2,52173,260,0,0,260,4853,51911,2,0.0,0.0,0
663,2,0,10,52183,260,0,0,260,2,51913,10,0.0,0.0,0
664,2,0,1125,53308,266,6,6,266,10,51923,1119,0.0,0.0,0
665,2,0,10,53318,266,0,0,266,1119,53042,10,0.0,0.0,0
666,2,0,6,53324,266,0,0,266,10,53052,6,0.0,0.0,0
667,2,0,1400,54724,273,7,7,273,6,53058,1393,0.0,0.0,0
668,2,0,8,54732,273,0,0,273,1393,54451,8,0.0,0.0,0
669,2,0,322,55054,275,2,2,275,8,54459,320,0.0,0.0,0
670,2,0,1906,56960,284,9,9,284,320,54779,1897,0.0,0.0,0
671,2,0,18,56978,284,0,0,284,1897,56676,18,0.0,0.0,0
672,2,0,153,57131,285,1,1,285,18,56694,152,0.0,0.0,0
673,2,0,445,57576,287,2,2,287,152,56846,443,0.0,0.0,0
674,2,0,14,57590,287,0,0,287,443,57289,14,0.0,0.0,0
675,2,0,30,57620,288,1,1,288,14,57303,29,0.0,0.0,0
676,2,0,8,57628,288,0,0,288,29,57332,8,0.0,0.0,0
677,2,0,8,57636,288,0,0,288,8,57340,8,0.0,0.0,0
678,2,0,6,57642,288,0,0,288,8,57348,6,0.0,0.0,0
679,2,0,72,57714,288,0,0,288,6,57354,72,0.0,0.0,0
680,2,0,22,57736,288,0,0,288,72,57426,22,0.0,0.0,0
681,2,0,4703,62439,312,24,24,312,22,57448,4679,0.0,0.0,0
682,2,0,6,62445,312,0,0,312,4679,62127,6,0.0,0.0,0
683,2,0,2192,64637,323,11,11,323,6,62133,2181,0.0,0.0,0
684,2,0,4562,69199,345,22,22,345,2181,64314,4540,0.0,0.0,0
685,2,0,14,69213,346,1,1,346,4540,68854,13,0.0,0.0,0
686,2,0,4689,73902,369,23,23,369,13,68867,4666,0.0,0.0,0
687,2,0,8040,81942,409,40,40,409,4666,73533,8000,0.0,0.0,0
688,2,0,7885,89827,449,40,40,449,8000,81533,7845,0.0,0.0,0
689,2,0,14,89841,449,0,0,449,7845,89378,14,0.0,0.0,0
690,2,0,4972,94813,474,25,25,474,14,89392,4947,0.0,0.0,0
691,2,0,4809,99622,498,24,24,498,4947,94339,4785,0.0,0.0,0
692,2,0,6898,106520,532,34,34,532,4785,99124,6864,0.0,0.0,0
693,2,0,4,106524,532,0,0,532,6864,105988,4,0.0,0.0,0
694,2,0,2664,109188,545,13,13,545,4,105992,2651,0.0,0.0,0
695,3,0,2827,112015,560,15,15,560,2651,108643,2812,0.0,0.0,0
696,3,0,6,112021,560,0,0,560,2812,111455,6,0.0,0.0,0
697,3,0,12,112033,560,0,0,560,6,111461,12,0.0,0.0,0
698,3,0,65,112098,560,0,0,560,12,111473,65,0.0,0.0,0
699,3,0,55,112153,560,0,0,560,65,111538,55,0.0,0.0,0
700,3,0,6,112159,560,0,0,560,55,111593,6,0.0,0.0,0
701,3,0,18,112177,560,0,0,560,6,111599,18,0.0,0.0,0
702,3,0,14,112191,560,0,0,560,18,111617,14,0.0,0.0,0
703,3,0,8,112199,560,0,0,560,14,111631,8,0.0,0.0,0
704,3,0,16,112215,561,1,1,561,8,111639,15,0.0,0.0,0
705,3,0,2362,114577,572,11,11,572,15,111654,2351,0.0,0.0,0
706,3,0,4,114581,572,0,0,572,2351,114005,4,0.0,0.0,0
707,3,0,309,114890,574,2,2,574,4,114009,307,0.0,0.0,0
708,3,0,4,114894,574,0,0,574,307,114316,4,0.0,0.0,0
709,3,0,2313,117207,586,12,12,586,4,114320,2301,0.0,0.0,0
710,3,0,1788,118995,594,8,8,594,2301,116621,1780,0.0,0.0,0
711,3,0,8,119003,595,1,1,595,1780,118401,7,0.0,0.0,0
712,3,0,23,119026,595,0,0,595,7,118408,23,0.0,0.0,0
713,3,0,8,119034,595,0,0,595,23,118431,8,0.0,0.0,0
714,3,0,681,119715,598,3,3,598,8,118439,678,0.0,0.0,0
715,3,0,1879,121594,607,9,9,607,678,119117,1870,0.0,0.0,0
716,3,0,140,121734,608,1,1,608,1870,120987,139,0.0,0.0,0
717,3,0,632,122366,611,3,3,611,139,121126,629,0.0,0.0,0
718,3,0,918,123284,616,5,5,616,629,121755,913,0.0,0.0,0
719,3,0,14,123298,616,0,0,616,913,122668,14,0.0,0.0,0
720,3,0,10,123308,616,0,0,616,14,122682,10,0.0,0.0,0
721,3,0,4,123312,616,0,0,616,10,122692,4,0.0,0.0,0
722,3,0,10,123322,616,0,0,616,4,122696,10,0.0,0.0,0
723,3,0,14,123336,616,0,0,616,10,122706,14,0.0,0.0,0
724,3,0,14,123350,616,0,0,616,14,122720,14,0.0,0.0,0
725,3,0,4,123354,616,0,0,616,14,122734,4,0.0,0.0,0
726,3,0,22,123376,616,0,0,616,4,122738,22,0.0,0.0,0
727,3,0,12,123388,616,0,0,616,22,122760,12,0.0,0.0,0
728,3,0,10,123398,616,0,0,616,12,122772,10,0.0,0.0,0
729,3,0,4,123402,617,1,1,617,10,122782,3,0.0,0.0,0
730,3,0,28,123430,617,0,0,617,3,122785,28,0.0,0.0,0
731,3,0,16,123446,617,0,0,617,28,122813,16,0.0,0.0,0
732,3,0,10,123456,617,0,0,617,16,122829,10,0.0,0.0,0
733,3,0,10,123466,617,0,0,617,10,122839,10,0.0,0.0,0
734,3,0,8,123474,617,0,0,617,10,122849,8,0.0,0.0,0
735,3,0,12,123486,617,0,0,617,8,122857,12,0.0,0.0,0
736,3,0,14,123500,617,0,0,617,12,122869,14,0.0,0.0,0
737,3,0,10,123510,617,0,0,617,14,122883,10,0.0,0.0,0
738,3,0,10,123520,617,0,0,617,10,122893,10,0.0,0.0,0
739,3,0,10,123530,617,0,0,617,10,122903,10,0.0,0.0,0
740,3,0,6,123536,617,0,0,617,10,122913,6,0.0,0.0,0
741,3,0,22,123558,617,0,0,617,6,122919,22,0.0,0.0,0
742,3,0,14,123572,617,0,0,617,22,122941,14,0.0,0.0,0
743,3,0,8,123580,617,0,0,617,14,122955,8,0.0,0.0,0
595,1,5,5434,5434,27,27,27,27,0,0,5407,0.0,0.0,0
596,1,5,9319,14753,73,46,46,73,0,0,14680,0.3683242506811989,1.0,1
597,1,5,2486,17239,86,13,13,86,0,0,17153,1.170932198449251,2.0,2
598,1,5,934,18173,90,4,4,90,0,0,18083,2.059171597633136,3.0,3
599,1,5,1816,19989,99,9,9,99,0,0,19890,2.7810960281548516,4.0,4
600,1,5,18,20007,100,1,1,100,0,0,19907,3.777867081930979,5.0,5
601,1,5,865,20872,104,4,4,104,5407,5407,15361,4.079617212421066,5.0,5
602,1,5,8,20880,104,0,0,104,9269,14676,6100,3.674426229508197,5.0,5
603,1,5,12,20892,104,0,0,104,2475,17151,3637,3.756942535056365,5.0,5
604,1,5,8,20900,104,0,0,104,931,18082,2714,4.3165070007369195,5.0,5
605,1,5,16,20916,104,0,0,104,1808,19890,922,3.8839479392624727,4.0,5
606,1,5,14,20930,104,0,0,104,13,19903,923,4.794149512459372,5.0,5
607,1,5,8,20938,104,0,0,104,865,20768,66,2.393939393939394,5.0,5
608,1,5,1082,22020,110,6,6,110,8,20776,1134,0.1437389770723104,0.0,5
609,1,5,8,22028,110,0,0,110,11,20787,1131,1.0884173297966402,1.0,5
610,1,5,1199,23227,116,6,6,116,7,20794,2317,0.991799741044454,2.0,5
611,1,5,14,23241,116,0,0,116,14,20808,2317,1.9555459646094087,3.0,5
612,1,5,2677,25918,129,13,13,129,10,20818,4971,1.364111848722591,4.0,5
613,1,5,45,25963,129,0,0,129,8,20826,5008,2.3370607028753994,5.0,5
614,1,5,1278,27241,136,7,7,136,1077,21903,5202,1.9700115340253748,4.0,5
615,1,5,8,27249,136,0,0,136,8,21911,5202,2.9607843137254903,5.0,5
616,1,5,6,27255,136,0,0,136,1198,23109,4010,3.345635910224439,4.0,5
617,1,5,2680,29935,149,13,13,149,13,23122,6664,2.6023409363745498,5.0,5
618,1,5,8,29943,149,0,0,149,2667,25789,4005,1.9985018726591761,4.0,5
619,1,5,2800,32743,163,14,14,163,43,25832,6748,1.7378482513337286,5.0,5
620,1,5,8,32751,163,0,0,163,1271,27103,5485,1.9779398359161349,3.0,5
621,1,5,1121,33872,169,6,6,169,6,27109,6594,2.4716408856536245,4.0,5
622,1,5,4,33876,169,0,0,169,3,27112,6595,3.4683851402577712,5.0,5
623,1,5,6,33882,169,0,0,169,2666,29778,3935,3.4238881829733163,4.0,5
624,1,5,10,33892,169,0,0,169,7,29785,3938,4.409852717115287,5.0,5
625,1,5,24,33916,169,0,0,169,2795,32580,1167,3.8851756640959727,4.0,5
626,1,5,6,33922,169,0,0,169,8,32588,1165,4.852360515021459,5.0,5
627,1,5,4,33926,169,0,0,169,1115,33703,54,2.3703703703703702,4.0,5
628,1,5,6,33932,169,0,0,169,4,33707,56,2.8214285714285716,4.5,5
629,1,5,20,33952,169,0,0,169,6,33713,70,2.5428571428571427,5.0,5
630,1,5,150,34102,170,1,1,170,10,33723,209,0.8755980861244019,5.0,5
631,1,5,12,34114,170,0,0,170,23,33746,198,1.2828282828282829,2.0,5
632,1,5,8,34122,170,0,0,170,6,33752,200,2.08,3.0,5
633,1,5,8,34130,170,0,0,170,4,33756,204,2.9019607843137254,4.0,5
634,1,5,10,34140,170,0,0,170,6,33762,208,3.6538461538461537,4.0,5
635,1,5,16,34156,170,0,0,170,20,33782,204,4.1568627450980395,5.0,5
636,1,5,12,34168,170,0,0,170,150,33932,66,2.303030303030303,5.0,5
637,1,5,3390,37558,187,17,17,187,12,33944,3427,0.03705865188211264,0.0,5
638,1,5,14,37572,187,0,0,187,8,33952,3433,1.0212642004078065,1.0,5
639,1,5,14,37586,187,0,0,187,6,33958,3441,2.006102877070619,2.0,5
640,1,5,1398,38984,194,7,7,194,8,33966,4824,2.1322553897180763,3.0,5
641,1,5,10,38994,194,0,0,194,14,33980,4820,3.117427385892116,4.0,5
642,1,5,1141,40135,200,6,6,200,11,33991,5944,3.32671601615074,5.0,5
643,1,5,14,40149,200,0,0,200,3380,37371,2578,2.1093871217998448,3.0,5
644,1,5,2267,42416,212,12,12,212,9,37380,4824,1.6496683250414594,4.0,5
645,2,5,10,42426,212,0,0,212,14,37394,4820,2.6344398340248962,5.0,5
646,2,5,20,42446,212,0,0,212,1395,38789,3445,2.65544267053701,4.0,5
647,2,5,10,42456,212,0,0,212,6,38795,3449,3.640765439257756,5.0,5
648,2,5,14,42470,212,0,0,212,1140,39935,2323,3.9457597933706414,4.0,5
649,2,5,263,42733,213,1,1,213,10,39945,2575,4.436893203883495,5.0,5
650,2,5,16,42749,213,0,0,213,2259,42204,332,1.3433734939759037,3.0,5
651,2,5,10,42759,213,0,0,213,9,42213,333,2.174174174174174,3.0,5
652,2,5,14,42773,213,0,0,213,20,42233,327,2.8654434250764527,3.0,5
653,2,5,8,42781,213,0,0,213,10,42243,325,3.7046153846153844,4.0,5
654,2,5,8,42789,213,0,0,213,14,42257,319,4.529780564263323,5.0,5
655,2,5,4,42793,213,0,0,213,263,42520,60,3.1,5.0,5
656,2,5,1965,44758,223,10,10,223,16,42536,1999,0.06253126563281641,0.0,5
657,2,5,10,44768,223,0,0,223,7,42543,2002,1.03996003996004,1.0,5
658,2,5,14,44782,223,0,0,223,12,42555,2004,2.0019960079840318,2.0,5
659,2,5,2500,47282,236,13,13,236,8,42563,4483,1.3294668748605845,3.0,5
660,2,5,12,47294,236,0,0,236,7,42570,4488,2.317513368983957,4.0,5
661,2,5,4877,52171,260,24,24,260,4,42574,9337,1.5878761914961979,5.0,5
662,2,5,2,52173,260,0,0,260,1961,44535,7378,1.6802656546489563,3.0,5
663,2,5,10,52183,260,0,0,260,7,44542,7381,2.6734859775098223,4.0,5
664,2,5,1125,53308,266,6,6,266,11,44553,8489,3.1848274237248204,5.0,5
665,2,5,10,53318,266,0,0,266,2472,47025,6027,3.4333831093412974,4.0,5
666,2,5,6,53324,266,0,0,266,12,47037,6021,4.4258428832419865,5.0,5
667,2,5,1400,54724,273,7,7,273,4872,51909,2542,1.3469708890637293,3.0,5
668,2,5,8,54732,273,0,0,273,1,51910,2549,2.338171832091016,4.0,5
669,2,5,322,55054,275,2,2,275,10,51920,2859,2.9548793284365162,5.0,5
670,2,5,1906,56960,284,9,9,284,1119,53039,3637,1.2612042892493813,3.0,5
671,2,5,18,56978,284,0,0,284,8,53047,3647,2.2418426103646834,4.0,5
672,2,5,153,57131,285,1,1,285,6,53053,3793,3.1073029264434484,5.0,5
673,2,5,445,57576,287,2,2,287,1398,54451,2838,2.532417195207893,4.0,5
674,2,5,14,57590,287,0,0,287,4,54455,2848,3.511587078651685,5.0,5
675,2,5,30,57620,288,1,1,288,321,54776,2556,4.273474178403756,5.0,5
676,2,5,8,57628,288,0,0,288,1900,56676,664,3.1310240963855422,4.0,5
677,2,5,8,57636,288,0,0,288,15,56691,657,4.038051750380517,5.0,5
678,2,5,6,57642,288,0,0,288,153,56844,510,4.690196078431373,5.0,5
679,2,5,72,57714,288,0,0,288,445,57289,137,1.6934306569343065,4.400000000000006,5
680,2,5,22,57736,288,0,0,288,14,57303,145,1.9655172413793103,5.0,5
681,2,5,4703,62439,312,24,24,312,29,57332,4795,0.04316996871741397,0.0,5
682,2,5,6,62445,312,0,0,312,6,57338,4795,1.0356621480709072,1.0,5
683,2,5,2192,64637,323,11,11,323,2,57340,6974,1.3967593920275307,2.0,5
684,2,5,4562,69199,345,22,22,345,5,57345,11509,1.44973499000782,3.0,5
685,2,5,14,69213,346,1,1,346,70,57415,11452,2.4252532308767027,4.0,5
686,2,5,4689,73902,369,23,23,369,14,57429,16104,2.428340784898162,5.0,5
687,2,5,8040,81942,409,40,40,409,4694,62123,19410,1.3873776403915508,4.0,5
688,2,5,7885,89827,449,40,40,449,6,62129,27249,1.6938603251495468,4.0,5
689,2,5,14,89841,449,0,0,449,2179,64308,25084,2.4051586668792857,5.0,5
690,2,5,4972,94813,474,25,25,474,4458,68766,25573,2.2919485394752277,4.0,5
691,2,5,4809,99622,498,24,24,498,7,68773,30351,2.7695298342723467,5.0,5
692,2,5,6898,106520,532,34,34,532,4673,73446,32542,2.6508204781513123,5.0,5
693,2,5,4,106524,532,0,0,532,7999,81445,24547,2.884710962643093,5.0,5
694,2,5,2664,109188,545,13,13,545,7878,89323,19320,2.4882505175983436,4.0,5
695,3,5,2827,112015,560,15,15,560,9,89332,22123,3.041856891018397,5.0,5
696,3,5,6,112021,560,0,0,560,4958,94290,17171,3.475045134237959,5.0,5
697,3,5,12,112033,560,0,0,560,4795,99085,12388,3.8804488214401034,5.0,5
698,3,5,65,112098,560,0,0,560,6887,105972,5566,3.438196191160618,4.0,5
699,3,5,55,112153,560,0,0,560,3,105975,5618,4.393912424350303,5.0,5
700,3,5,6,112159,560,0,0,560,2658,108633,2966,4.839851652056642,5.0,5
701,3,5,18,112177,560,0,0,560,2822,111455,162,2.4012345679012346,4.0,5
702,3,5,14,112191,560,0,0,560,6,111461,170,3.0294117647058822,4.0,5
703,3,5,8,112199,560,0,0,560,12,111473,166,3.6927710843373496,5.0,5
704,3,5,16,112215,561,1,1,561,65,111538,116,3.336206896551724,5.0,5
705,3,5,2362,114577,572,11,11,572,55,111593,2412,0.060945273631840796,0.0,5
706,3,5,4,114581,572,0,0,572,6,111599,2410,1.0468879668049793,1.0,5
707,3,5,309,114890,574,2,2,574,16,111615,2701,1.7908182154757497,2.0,5
708,3,5,4,114894,574,0,0,574,9,111624,2696,2.7759643916913945,3.0,5
709,3,5,2313,117207,586,12,12,586,7,111631,4990,2.0248496993987977,4.0,5
710,3,5,1788,118995,594,8,8,594,11,111642,6759,2.223405829264684,5.0,5
711,3,5,8,119003,595,1,1,595,2357,113999,4409,1.7339532773871627,2.0,5
712,3,5,23,119026,595,0,0,595,3,114002,4429,2.7175434635357867,3.0,5
713,3,5,8,119034,595,0,0,595,305,114307,4132,3.541868344627299,4.0,5
714,3,5,681,119715,598,3,3,598,2,114309,4808,3.8999584026622296,5.0,5
715,3,5,1879,121594,607,9,9,607,2312,116621,4366,2.2153000458085206,5.0,5
716,3,5,140,121734,608,1,1,608,1779,118400,2726,1.2340425531914894,2.0,5
717,3,5,632,122366,611,3,3,611,5,118405,3350,1.8086567164179104,3.0,5
718,3,5,918,123284,616,5,5,616,23,118428,4240,2.186556603773585,4.0,5
719,3,5,14,123298,616,0,0,616,5,118433,4249,3.1727465285949634,5.0,5
720,3,5,10,123308,616,0,0,616,678,119111,3581,3.815135437028763,5.0,5
721,3,5,4,123312,616,0,0,616,1876,120987,1709,3.503218256290228,4.0,5
722,3,5,10,123322,616,0,0,616,138,121125,1581,4.344086021505376,5.0,5
723,3,5,14,123336,616,0,0,616,630,121755,965,4.838341968911917,5.0,5
724,3,5,14,123350,616,0,0,616,913,122668,66,2.3636363636363638,5.0,5
725,3,5,4,123354,616,0,0,616,14,122682,56,2.4642857142857144,5.0,5
726,3,5,22,123376,616,0,0,616,10,122692,68,1.9705882352941178,4.0,5
727,3,5,12,123388,616,0,0,616,4,122696,76,2.3421052631578947,5.0,5
728,3,5,10,123398,616,0,0,616,10,122706,76,2.5526315789473686,5.0,5
729,3,5,4,123402,617,1,1,617,14,122720,65,2.830769230769231,5.0,5
730,3,5,28,123430,617,0,0,617,14,122734,79,2.088607594936709,4.0,5
731,3,5,16,123446,617,0,0,617,4,122738,91,2.4175824175824174,5.0,5
732,3,5,10,123456,617,0,0,617,22,122760,79,2.2658227848101267,5.0,5
733,3,5,10,123466,617,0,0,617,11,122771,78,2.4615384615384617,5.0,5
734,3,5,8,123474,617,0,0,617,10,122781,76,2.763157894736842,4.0,5
735,3,5,12,123486,617,0,0,617,4,122785,84,3.119047619047619,5.0,5
736,3,5,14,123500,617,0,0,617,28,122813,70,2.5428571428571427,5.0,5
737,3,5,10,123510,617,0,0,617,16,122829,64,2.375,5.0,5
738,3,5,10,123520,617,0,0,617,10,122839,64,2.4375,5.0,5
739,3,5,10,123530,617,0,0,617,10,122849,64,2.5,5.0,5
740,3,5,6,123536,617,0,0,617,8,122857,62,2.838709677419355,5.0,5
741,3,5,22,123558,617,0,0,617,12,122869,72,2.3055555555555554,5.0,5
742,3,5,14,123572,617,0,0,617,14,122883,72,2.138888888888889,5.0,5
743,3,5,8,123580,617,0,0,617,10,122893,70,2.3714285714285714,5.0,5
595,1,10,5434,5434,27,27,27,27,0,0,5407,0.0,0.0,0
596,1,10,9319,14753,73,46,46,73,0,0,14680,0.3683242506811989,1.0,1
597,1,10,2486,17239,86,13,13,86,0,0,17153,1.170932198449251,2.0,2
598,1,10,934,18173,90,4,4,90,0,0,18083,2.059171597633136,3.0,3
599,1,10,1816,19989,99,9,9,99,0,0,19890,2.7810960281548516,4.0,4
600,1,10,18,20007,100,1,1,100,0,0,19907,3.777867081930979,5.0,5
601,1,10,865,20872,104,4,4,104,0,0,20768,4.579593605546996,6.0,6
602,1,10,8,20880,104,0,0,104,0,0,20776,5.577445128994994,7.0,7
603,1,10,12,20892,104,0,0,104,0,0,20788,6.573648258610737,8.0,8
604,1,10,8,20900,104,0,0,104,0,0,20796,7.5707347566839776,9.0,9
605,1,10,16,20916,104,0,0,104,0,0,20812,8.564145685181625,10.0,10
606,1,10,14,20930,104,0,0,104,5407,5407,15419,9.051948894221415,10.0,10
607,1,10,8,20938,104,0,0,104,9269,14676,6158,8.611886976291004,10.0,10
608,1,10,1082,22020,110,6,6,110,2475,17151,4759,6.714015549485186,10.0,10
609,1,10,8,22028,110,0,0,110,931,18082,3836,6.9004171011470286,10.0,10
610,1,10,1199,23227,116,6,6,116,1808,19890,3221,3.2232226016764978,9.0,10
611,1,10,14,23241,116,0,0,116,13,19903,3222,4.177529484792054,10.0,10
612,1,10,2677,25918,129,13,13,129,865,20768,5021,1.4220274845648277,4.0,10
613,1,10,45,25963,129,0,0,129,7,20775,5059,2.3886143506621864,5.0,10
614,1,10,1278,27241,136,7,7,136,9,20784,6321,2.6960923904445497,6.0,10
615,1,10,8,27249,136,0,0,136,6,20790,6323,3.684485212715483,7.0,10
616,1,10,6,27255,136,0,0,136,14,20804,6315,4.66603325415677,8.0,10
617,1,10,2680,29935,149,13,13,149,10,20814,8972,3.975144895229603,9.0,10
618,1,10,8,29943,149,0,0,149,8,20822,8972,4.965336602764155,10.0,10
619,1,10,2800,32743,163,14,14,163,1077,21899,10681,3.8971070124520177,9.0,10
620,1,10,8,32751,163,0,0,163,8,21907,10681,4.888868083512779,10.0,10
621,1,10,1121,33872,169,6,6,169,1198,23105,10598,4.691545574636724,9.0,10
622,1,10,4,33876,169,0,0,169,13,23118,10589,5.682878458777977,10.0,10
623,1,10,6,33882,169,0,0,169,2667,25785,7928,5.225529767911201,9.0,10
624,1,10,10,33892,169,0,0,169,42,25827,7896,6.192249240121581,10.0,10
625,1,10,24,33916,169,0,0,169,1272,27099,6648,6.437725631768953,8.0,10
626,1,10,6,33922,169,0,0,169,6,27105,6648,7.427797833935018,9.0,10
627,1,10,4,33926,169,0,0,169,3,27108,6649,8.421567152955332,10.0,10
628,1,10,6,33932,169,0,0,169,2669,29777,3986,8.350476668339187,9.0,10
629,1,10,20,33952,169,0,0,169,7,29784,3999,9.300825206301575,10.0,10
630,1,10,150,34102,170,1,1,170,2796,32580,1352,7.715976331360947,9.0,10
631,1,10,12,34114,170,0,0,170,8,32588,1356,8.625368731563421,10.0,10
632,1,10,8,34122,170,0,0,170,1115,33703,249,3.1606425702811247,7.0,10
633,1,10,8,34130,170,0,0,170,4,33707,253,3.9209486166007905,8.0,10
634,1,10,10,34140,170,0,0,170,6,33713,257,4.587548638132295,9.0,10
635,1,10,16,34156,170,0,0,170,10,33723,263,5.0418250950570345,9.0,10
636,1,10,12,34168,170,0,0,170,23,33746,252,5.301587301587301,7.0,10
637,1,10,3390,37558,187,17,17,187,6,33752,3619,0.3984526112185687,0.0,10
638,1,10,14,37572,187,0,0,187,3,33755,3630,1.3851239669421487,1.0,10
639,1,10,14,37586,187,0,0,187,6,33761,3638,2.3617372182517866,2.0,10
640,1,10,1398,38984,194,7,7,194,17,33778,5012,2.4008379888268156,3.0,10
641,1,10,10,38994,194,0,0,194,149,33927,4873,3.1615021547301456,4.0,10
642,1,10,1141,40135,200,6,6,200,8,33935,6000,3.361666666666667,5.0,10
643,1,10,14,40149,200,0,0,200,8,33943,6006,4.3426573426573425,6.0,10
644,1,10,2267,42416,212,12,12,212,6,33949,8255,3.8764385221078133,7.0,10
