strategy,step,active_regime,handoff_mode,transactions,cumulative_transactions,cumulative_entitlement,new_slots_available,selected_this_step,selected_cumulative,pending_after_selection
frozen_incumbent,630,1,retain_old_scores,150,34102,170,1,1,170,33932
frozen_incumbent,631,1,retain_old_scores,12,34114,170,0,0,170,33944
frozen_incumbent,632,1,retain_old_scores,8,34122,170,0,0,170,33952
frozen_incumbent,633,1,retain_old_scores,8,34130,170,0,0,170,33960
frozen_incumbent,634,1,retain_old_scores,10,34140,170,0,0,170,33970
frozen_incumbent,635,1,retain_old_scores,16,34156,170,0,0,170,33986
frozen_incumbent,636,1,retain_old_scores,12,34168,170,0,0,170,33998
frozen_incumbent,637,1,retain_old_scores,3390,37558,187,17,17,187,37371
frozen_incumbent,638,1,retain_old_scores,14,37572,187,0,0,187,37385
frozen_incumbent,639,1,retain_old_scores,14,37586,187,0,0,187,37399
frozen_incumbent,640,1,retain_old_scores,1398,38984,194,7,7,194,38790
frozen_incumbent,641,1,retain_old_scores,10,38994,194,0,0,194,38800
frozen_incumbent,642,1,retain_old_scores,1141,40135,200,6,6,200,39935
frozen_incumbent,643,1,retain_old_scores,14,40149,200,0,0,200,39949
frozen_incumbent,644,1,retain_old_scores,2267,42416,212,12,12,212,42204
frozen_incumbent,645,1,retain_old_scores,10,42426,212,0,0,212,42214
frozen_incumbent,646,1,retain_old_scores,20,42446,212,0,0,212,42234
frozen_incumbent,647,1,retain_old_scores,10,42456,212,0,0,212,42244
frozen_incumbent,648,1,retain_old_scores,14,42470,212,0,0,212,42258
frozen_incumbent,649,1,retain_old_scores,263,42733,213,1,1,213,42520
frozen_incumbent,650,1,retain_old_scores,16,42749,213,0,0,213,42536
frozen_incumbent,651,1,retain_old_scores,10,42759,213,0,0,213,42546
frozen_incumbent,652,1,retain_old_scores,14,42773,213,0,0,213,42560
frozen_incumbent,653,1,retain_old_scores,8,42781,213,0,0,213,42568
frozen_incumbent,654,1,retain_old_scores,8,42789,213,0,0,213,42576
frozen_incumbent,655,1,retain_old_scores,4,42793,213,0,0,213,42580
frozen_incumbent,656,1,retain_old_scores,1965,44758,223,10,10,223,44535
frozen_incumbent,657,1,retain_old_scores,10,44768,223,0,0,223,44545
frozen_incumbent,658,1,retain_old_scores,14,44782,223,0,0,223,44559
frozen_incumbent,659,1,retain_old_scores,2500,47282,236,13,13,236,47046
frozen_incumbent,660,1,retain_old_scores,12,47294,236,0,0,236,47058
frozen_incumbent,661,1,retain_old_scores,4877,52171,260,24,24,260,51911
frozen_incumbent,662,1,retain_old_scores,2,52173,260,0,0,260,51913
frozen_incumbent,663,1,retain_old_scores,10,52183,260,0,0,260,51923
frozen_incumbent,664,1,retain_old_scores,1125,53308,266,6,6,266,53042
frozen_incumbent,665,1,retain_old_scores,10,53318,266,0,0,266,53052
frozen_incumbent,666,1,retain_old_scores,6,53324,266,0,0,266,53058
frozen_incumbent,667,1,retain_old_scores,1400,54724,273,7,7,273,54451
frozen_incumbent,668,1,retain_old_scores,8,54732,273,0,0,273,54459
frozen_incumbent,669,1,retain_old_scores,322,55054,275,2,2,275,54779
frozen_incumbent,670,1,retain_old_scores,1906,56960,284,9,9,284,56676
frozen_incumbent,671,1,retain_old_scores,18,56978,284,0,0,284,56694
frozen_incumbent,672,1,retain_old_scores,153,57131,285,1,1,285,56846
frozen_incumbent,673,1,retain_old_scores,445,57576,287,2,2,287,57289
frozen_incumbent,674,1,retain_old_scores,14,57590,287,0,0,287,57303
frozen_incumbent,675,1,retain_old_scores,30,57620,288,1,1,288,57332
frozen_incumbent,676,1,retain_old_scores,8,57628,288,0,0,288,57340
frozen_incumbent,677,1,retain_old_scores,8,57636,288,0,0,288,57348
frozen_incumbent,678,1,retain_old_scores,6,57642,288,0,0,288,57354
frozen_incumbent,679,1,retain_old_scores,72,57714,288,0,0,288,57426
frozen_incumbent,680,1,retain_old_scores,22,57736,288,0,0,288,57448
frozen_incumbent,681,1,retain_old_scores,4703,62439,312,24,24,312,62127
frozen_incumbent,682,1,retain_old_scores,6,62445,312,0,0,312,62133
frozen_incumbent,683,1,retain_old_scores,2192,64637,323,11,11,323,64314
frozen_incumbent,684,1,retain_old_scores,4562,69199,345,22,22,345,68854
frozen_incumbent,685,1,retain_old_scores,14,69213,346,1,1,346,68867
frozen_incumbent,686,1,retain_old_scores,4689,73902,369,23,23,369,73533
frozen_incumbent,687,1,retain_old_scores,8040,81942,409,40,40,409,81533
frozen_incumbent,688,1,retain_old_scores,7885,89827,449,40,40,449,89378
frozen_incumbent,689,1,retain_old_scores,14,89841,449,0,0,449,89392
frozen_incumbent,690,1,retain_old_scores,4972,94813,474,25,25,474,94339
frozen_incumbent,691,1,retain_old_scores,4809,99622,498,24,24,498,99124
frozen_incumbent,692,1,retain_old_scores,6898,106520,532,34,34,532,105988
frozen_incumbent,693,1,retain_old_scores,4,106524,532,0,0,532,105992
frozen_incumbent,694,1,retain_old_scores,2664,109188,545,13,13,545,108643
frozen_incumbent,695,1,retain_old_scores,2827,112015,560,15,15,560,111455
frozen_incumbent,696,1,retain_old_scores,6,112021,560,0,0,560,111461
frozen_incumbent,697,1,retain_old_scores,12,112033,560,0,0,560,111473
frozen_incumbent,698,1,retain_old_scores,65,112098,560,0,0,560,111538
frozen_incumbent,699,1,retain_old_scores,55,112153,560,0,0,560,111593
frozen_incumbent,700,1,retain_old_scores,6,112159,560,0,0,560,111599
frozen_incumbent,701,1,retain_old_scores,18,112177,560,0,0,560,111617
frozen_incumbent,702,1,retain_old_scores,14,112191,560,0,0,560,111631
frozen_incumbent,703,1,retain_old_scores,8,112199,560,0,0,560,111639
frozen_incumbent,704,1,retain_old_scores,16,112215,561,1,1,561,111654
frozen_incumbent,705,1,retain_old_scores,2362,114577,572,11,11,572,114005
frozen_incumbent,706,1,retain_old_scores,4,114581,572,0,0,572,114009
frozen_incumbent,707,1,retain_old_scores,309,114890,574,2,2,574,114316
frozen_incumbent,708,1,retain_old_scores,4,114894,574,0,0,574,114320
frozen_incumbent,709,1,retain_old_scores,2313,117207,586,12,12,586,116621
frozen_incumbent,710,1,retain_old_scores,1788,118995,594,8,8,594,118401
frozen_incumbent,711,1,retain_old_scores,8,119003,595,1,1,595,118408
frozen_incumbent,712,1,retain_old_scores,23,119026,595,0,0,595,118431
frozen_incumbent,713,1,retain_old_scores,8,119034,595,0,0,595,118439
frozen_incumbent,714,1,retain_old_scores,681,119715,598,3,3,598,119117
frozen_incumbent,715,1,retain_old_scores,1879,121594,607,9,9,607,120987
frozen_incumbent,716,1,retain_old_scores,140,121734,608,1,1,608,121126
frozen_incumbent,717,1,retain_old_scores,632,122366,611,3,3,611,121755
frozen_incumbent,718,1,retain_old_scores,918,123284,616,5,5,616,122668
frozen_incumbent,719,1,retain_old_scores,14,123298,616,0,0,616,122682
frozen_incumbent,720,1,retain_old_scores,10,123308,616,0,0,616,122692
frozen_incumbent,721,1,retain_old_scores,4,123312,616,0,0,616,122696
frozen_incumbent,722,1,retain_old_scores,10,123322,616,0,0,616,122706
frozen_incumbent,723,1,retain_old_scores,14,123336,616,0,0,616,122720
frozen_incumbent,724,1,retain_old_scores,14,123350,616,0,0,616,122734
frozen_incumbent,725,1,retain_old_scores,4,123354,616,0,0,616,122738
frozen_incumbent,726,1,retain_old_scores,22,123376,616,0,0,616,122760
frozen_incumbent,727,1,retain_old_scores,12,123388,616,0,0,616,122772
frozen_incumbent,728,1,retain_old_scores,10,123398,616,0,0,616,122782
frozen_incumbent,729,1,retain_old_scores,4,123402,617,1,1,617,122785
frozen_incumbent,730,1,retain_old_scores,28,123430,617,0,0,617,122813
frozen_incumbent,731,1,retain_old_scores,16,123446,617,0,0,617,122829
frozen_incumbent,732,1,retain_old_scores,10,123456,617,0,0,617,122839
frozen_incumbent,733,1,retain_old_scores,10,123466,617,0,0,617,122849
frozen_incumbent,734,1,retain_old_scores,8,123474,617,0,0,617,122857
frozen_incumbent,735,1,retain_old_scores,12,123486,617,0,0,617,122869
frozen_incumbent,736,1,retain_old_scores,14,123500,617,0,0,617,122883
frozen_incumbent,737,1,retain_old_scores,10,123510,617,0,0,617,122893
frozen_incumbent,738,1,retain_old_scores,10,123520,617,0,0,617,122903
frozen_incumbent,739,1,retain_old_scores,10,123530,617,0,0,617,122913
frozen_incumbent,740,1,retain_old_scores,6,123536,617,0,0,617,122919
frozen_incumbent,741,1,retain_old_scores,22,123558,617,0,0,617,122941
frozen_incumbent,742,1,retain_old_scores,14,123572,617,0,0,617,122955
frozen_incumbent,743,1,retain_old_scores,8,123580,617,0,0,617,122963
retain_old_scores,595,1,retain_old_scores,5434,5434,27,27,27,27,5407
retain_old_scores,596,1,retain_old_scores,9319,14753,73,46,46,73,14680
retain_old_scores,597,1,retain_old_scores,2486,17239,86,13,13,86,17153
retain_old_scores,598,1,retain_old_scores,934,18173,90,4,4,90,18083
retain_old_scores,599,1,retain_old_scores,1816,19989,99,9,9,99,19890
retain_old_scores,600,1,retain_old_scores,18,20007,100,1,1,100,19907
retain_old_scores,601,1,retain_old_scores,865,20872,104,4,4,104,20768
retain_old_scores,602,1,retain_old_scores,8,20880,104,0,0,104,20776
retain_old_scores,603,1,retain_old_scores,12,20892,104,0,0,104,20788
retain_old_scores,604,1,retain_old_scores,8,20900,104,0,0,104,20796
retain_old_scores,605,1,retain_old_scores,16,20916,104,0,0,104,20812
retain_old_scores,606,1,retain_old_scores,14,20930,104,0,0,104,20826
retain_old_scores,607,1,retain_old_scores,8,20938,104,0,0,104,20834
retain_old_scores,608,1,retain_old_scores,1082,22020,110,6,6,110,21910
retain_old_scores,609,1,retain_old_scores,8,22028,110,0,0,110,21918
retain_old_scores,610,1,retain_old_scores,1199,23227,116,6,6,116,23111
retain_old_scores,611,1,retain_old_scores,14,23241,116,0,0,116,23125
retain_old_scores,612,1,retain_old_scores,2677,25918,129,13,13,129,25789
retain_old_scores,613,1,retain_old_scores,45,25963,129,0,0,129,25834
retain_old_scores,614,1,retain_old_scores,1278,27241,136,7,7,136,27105
retain_old_scores,615,1,retain_old_scores,8,27249,136,0,0,136,27113
retain_old_scores,616,1,retain_old_scores,6,27255,136,0,0,136,27119
retain_old_scores,617,1,retain_old_scores,2680,29935,149,13,13,149,29786
retain_old_scores,618,1,retain_old_scores,8,29943,149,0,0,149,29794
retain_old_scores,619,1,retain_old_scores,2800,32743,163,14,14,163,32580
retain_old_scores,620,1,retain_old_scores,8,32751,163,0,0,163,32588
retain_old_scores,621,1,retain_old_scores,1121,33872,169,6,6,169,33703
retain_old_scores,622,1,retain_old_scores,4,33876,169,0,0,169,33707
retain_old_scores,623,1,retain_old_scores,6,33882,169,0,0,169,33713
retain_old_scores,624,1,retain_old_scores,10,33892,169,0,0,169,33723
retain_old_scores,625,1,retain_old_scores,24,33916,169,0,0,169,33747
retain_old_scores,626,1,retain_old_scores,6,33922,169,0,0,169,33753
retain_old_scores,627,1,retain_old_scores,4,33926,169,0,0,169,33757
retain_old_scores,628,1,retain_old_scores,6,33932,169,0,0,169,33763
retain_old_scores,629,1,retain_old_scores,20,33952,169,0,0,169,33783
retain_old_scores,630,1,retain_old_scores,150,34102,170,1,1,170,33932
retain_old_scores,631,1,retain_old_scores,12,34114,170,0,0,170,33944
retain_old_scores,632,1,retain_old_scores,8,34122,170,0,0,170,33952
retain_old_scores,633,1,retain_old_scores,8,34130,170,0,0,170,33960
retain_old_scores,634,1,retain_old_scores,10,34140,170,0,0,170,33970
retain_old_scores,635,1,retain_old_scores,16,34156,170,0,0,170,33986
retain_old_scores,636,1,retain_old_scores,12,34168,170,0,0,170,33998
retain_old_scores,637,1,retain_old_scores,3390,37558,187,17,17,187,37371
retain_old_scores,638,1,retain_old_scores,14,37572,187,0,0,187,37385
retain_old_scores,639,1,retain_old_scores,14,37586,187,0,0,187,37399
retain_old_scores,640,1,retain_old_scores,1398,38984,194,7,7,194,38790
retain_old_scores,641,1,retain_old_scores,10,38994,194,0,0,194,38800
retain_old_scores,642,1,retain_old_scores,1141,40135,200,6,6,200,39935
retain_old_scores,643,1,retain_old_scores,14,40149,200,0,0,200,39949
retain_old_scores,644,1,retain_old_scores,2267,42416,212,12,12,212,42204
retain_old_scores,645,2,retain_old_scores,10,42426,212,0,0,212,42214
retain_old_scores,646,2,retain_old_scores,20,42446,212,0,0,212,42234
retain_old_scores,647,2,retain_old_scores,10,42456,212,0,0,212,42244
retain_old_scores,648,2,retain_old_scores,14,42470,212,0,0,212,42258
retain_old_scores,649,2,retain_old_scores,263,42733,213,1,1,213,42520
retain_old_scores,650,2,retain_old_scores,16,42749,213,0,0,213,42536
retain_old_scores,651,2,retain_old_scores,10,42759,213,0,0,213,42546
retain_old_scores,652,2,retain_old_scores,14,42773,213,0,0,213,42560
retain_old_scores,653,2,retain_old_scores,8,42781,213,0,0,213,42568
retain_old_scores,654,2,retain_old_scores,8,42789,213,0,0,213,42576
retain_old_scores,655,2,retain_old_scores,4,42793,213,0,0,213,42580
retain_old_scores,656,2,retain_old_scores,1965,44758,223,10,10,223,44535
retain_old_scores,657,2,retain_old_scores,10,44768,223,0,0,223,44545
retain_old_scores,658,2,retain_old_scores,14,44782,223,0,0,223,44559
retain_old_scores,659,2,retain_old_scores,2500,47282,236,13,13,236,47046
retain_old_scores,660,2,retain_old_scores,12,47294,236,0,0,236,47058
retain_old_scores,661,2,retain_old_scores,4877,52171,260,24,24,260,51911
retain_old_scores,662,2,retain_old_scores,2,52173,260,0,0,260,51913
retain_old_scores,663,2,retain_old_scores,10,52183,260,0,0,260,51923
retain_old_scores,664,2,retain_old_scores,1125,53308,266,6,6,266,53042
retain_old_scores,665,2,retain_old_scores,10,53318,266,0,0,266,53052
retain_old_scores,666,2,retain_old_scores,6,53324,266,0,0,266,53058
retain_old_scores,667,2,retain_old_scores,1400,54724,273,7,7,273,54451
retain_old_scores,668,2,retain_old_scores,8,54732,273,0,0,273,54459
retain_old_scores,669,2,retain_old_scores,322,55054,275,2,2,275,54779
retain_old_scores,670,2,retain_old_scores,1906,56960,284,9,9,284,56676
retain_old_scores,671,2,retain_old_scores,18,56978,284,0,0,284,56694
retain_old_scores,672,2,retain_old_scores,153,57131,285,1,1,285,56846
retain_old_scores,673,2,retain_old_scores,445,57576,287,2,2,287,57289
retain_old_scores,674,2,retain_old_scores,14,57590,287,0,0,287,57303
retain_old_scores,675,2,retain_old_scores,30,57620,288,1,1,288,57332
retain_old_scores,676,2,retain_old_scores,8,57628,288,0,0,288,57340
retain_old_scores,677,2,retain_old_scores,8,57636,288,0,0,288,57348
retain_old_scores,678,2,retain_old_scores,6,57642,288,0,0,288,57354
retain_old_scores,679,2,retain_old_scores,72,57714,288,0,0,288,57426
retain_old_scores,680,2,retain_old_scores,22,57736,288,0,0,288,57448
retain_old_scores,681,2,retain_old_scores,4703,62439,312,24,24,312,62127
retain_old_scores,682,2,retain_old_scores,6,62445,312,0,0,312,62133
retain_old_scores,683,2,retain_old_scores,2192,64637,323,11,11,323,64314
retain_old_scores,684,2,retain_old_scores,4562,69199,345,22,22,345,68854
retain_old_scores,685,2,retain_old_scores,14,69213,346,1,1,346,68867
retain_old_scores,686,2,retain_old_scores,4689,73902,369,23,23,369,73533
retain_old_scores,687,2,retain_old_scores,8040,81942,409,40,40,409,81533
retain_old_scores,688,2,retain_old_scores,7885,89827,449,40,40,449,89378
retain_old_scores,689,2,retain_old_scores,14,89841,449,0,0,449,89392
retain_old_scores,690,2,retain_old_scores,4972,94813,474,25,25,474,94339
retain_old_scores,691,2,retain_old_scores,4809,99622,498,24,24,498,99124
retain_old_scores,692,2,retain_old_scores,6898,106520,532,34,34,532,105988
retain_old_scores,693,2,retain_old_scores,4,106524,532,0,0,532,105992
retain_old_scores,694,2,retain_old_scores,2664,109188,545,13,13,545,108643
retain_old_scores,695,3,retain_old_scores,2827,112015,560,15,15,560,111455
retain_old_scores,696,3,retain_old_scores,6,112021,560,0,0,560,111461
retain_old_scores,697,3,retain_old_scores,12,112033,560,0,0,560,111473
retain_old_scores,698,3,retain_old_scores,65,112098,560,0,0,560,111538
retain_old_scores,699,3,retain_old_scores,55,112153,560,0,0,560,111593
retain_old_scores,700,3,retain_old_scores,6,112159,560,0,0,560,111599
retain_old_scores,701,3,retain_old_scores,18,112177,560,0,0,560,111617
retain_old_scores,702,3,retain_old_scores,14,112191,560,0,0,560,111631
retain_old_scores,703,3,retain_old_scores,8,112199,560,0,0,560,111639
retain_old_scores,704,3,retain_old_scores,16,112215,561,1,1,561,111654
retain_old_scores,705,3,retain_old_scores,2362,114577,572,11,11,572,114005
retain_old_scores,706,3,retain_old_scores,4,114581,572,0,0,572,114009
retain_old_scores,707,3,retain_old_scores,309,114890,574,2,2,574,114316
retain_old_scores,708,3,retain_old_scores,4,114894,574,0,0,574,114320
retain_old_scores,709,3,retain_old_scores,2313,117207,586,12,12,586,116621
retain_old_scores,710,3,retain_old_scores,1788,118995,594,8,8,594,118401
retain_old_scores,711,3,retain_old_scores,8,119003,595,1,1,595,118408
retain_old_scores,712,3,retain_old_scores,23,119026,595,0,0,595,118431
retain_old_scores,713,3,retain_old_scores,8,119034,595,0,0,595,118439
retain_old_scores,714,3,retain_old_scores,681,119715,598,3,3,598,119117
retain_old_scores,715,3,retain_old_scores,1879,121594,607,9,9,607,120987
retain_old_scores,716,3,retain_old_scores,140,121734,608,1,1,608,121126
retain_old_scores,717,3,retain_old_scores,632,122366,611,3,3,611,121755
retain_old_scores,718,3,retain_old_scores,918,123284,616,5,5,616,122668
retain_old_scores,719,3,retain_old_scores,14,123298,616,0,0,616,122682
retain_old_scores,720,3,retain_old_scores,10,123308,616,0,0,616,122692
retain_old_scores,721,3,retain_old_scores,4,123312,616,0,0,616,122696
retain_old_scores,722,3,retain_old_scores,10,123322,616,0,0,616,122706
retain_old_scores,723,3,retain_old_scores,14,123336,616,0,0,616,122720
retain_old_scores,724,3,retain_old_scores,14,123350,616,0,0,616,122734
retain_old_scores,725,3,retain_old_scores,4,123354,616,0,0,616,122738
retain_old_scores,726,3,retain_old_scores,22,123376,616,0,0,616,122760
retain_old_scores,727,3,retain_old_scores,12,123388,616,0,0,616,122772
retain_old_scores,728,3,retain_old_scores,10,123398,616,0,0,616,122782
retain_old_scores,729,3,retain_old_scores,4,123402,617,1,1,617,122785
retain_old_scores,730,3,retain_old_scores,28,123430,617,0,0,617,122813
retain_old_scores,731,3,retain_old_scores,16,123446,617,0,0,617,122829
retain_old_scores,732,3,retain_old_scores,10,123456,617,0,0,617,122839
retain_old_scores,733,3,retain_old_scores,10,123466,617,0,0,617,122849
retain_old_scores,734,3,retain_old_scores,8,123474,617,0,0,617,122857
retain_old_scores,735,3,retain_old_scores,12,123486,617,0,0,617,122869
retain_old_scores,736,3,retain_old_scores,14,123500,617,0,0,617,122883
retain_old_scores,737,3,retain_old_scores,10,123510,617,0,0,617,122893
retain_old_scores,738,3,retain_old_scores,10,123520,617,0,0,617,122903
retain_old_scores,739,3,retain_old_scores,10,123530,617,0,0,617,122913
retain_old_scores,740,3,retain_old_scores,6,123536,617,0,0,617,122919
retain_old_scores,741,3,retain_old_scores,22,123558,617,0,0,617,122941
retain_old_scores,742,3,retain_old_scores,14,123572,617,0,0,617,122955
retain_old_scores,743,3,retain_old_scores,8,123580,617,0,0,617,122963
rescore_pending,595,1,rescore_pending,5434,5434,27,27,27,27,5407
rescore_pending,596,1,rescore_pending,9319,14753,73,46,46,73,14680
rescore_pending,597,1,rescore_pending,2486,17239,86,13,13,86,17153
rescore_pending,598,1,rescore_pending,934,18173,90,4,4,90,18083
rescore_pending,599,1,rescore_pending,1816,19989,99,9,9,99,19890
rescore_pending,600,1,rescore_pending,18,20007,100,1,1,100,19907
rescore_pending,601,1,rescore_pending,865,20872,104,4,4,104,20768
rescore_pending,602,1,rescore_pending,8,20880,104,0,0,104,20776
rescore_pending,603,1,rescore_pending,12,20892,104,0,0,104,20788
rescore_pending,604,1,rescore_pending,8,20900,104,0,0,104,20796
rescore_pending,605,1,rescore_pending,16,20916,104,0,0,104,20812
rescore_pending,606,1,rescore_pending,14,20930,104,0,0,104,20826
rescore_pending,607,1,rescore_pending,8,20938,104,0,0,104,20834
rescore_pending,608,1,rescore_pending,1082,22020,110,6,6,110,21910
rescore_pending,609,1,rescore_pending,8,22028,110,0,0,110,21918
rescore_pending,610,1,rescore_pending,1199,23227,116,6,6,116,23111
rescore_pending,611,1,rescore_pending,14,23241,116,0,0,116,23125
rescore_pending,612,1,rescore_pending,2677,25918,129,13,13,129,25789
rescore_pending,613,1,rescore_pending,45,25963,129,0,0,129,25834
rescore_pending,614,1,rescore_pending,1278,27241,136,7,7,136,27105
rescore_pending,615,1,rescore_pending,8,27249,136,0,0,136,27113
rescore_pending,616,1,rescore_pending,6,27255,136,0,0,136,27119
rescore_pending,617,1,rescore_pending,2680,29935,149,13,13,149,29786
rescore_pending,618,1,rescore_pending,8,29943,149,0,0,149,29794
rescore_pending,619,1,rescore_pending,2800,32743,163,14,14,163,32580
rescore_pending,620,1,rescore_pending,8,32751,163,0,0,163,32588
rescore_pending,621,1,rescore_pending,1121,33872,169,6,6,169,33703
rescore_pending,622,1,rescore_pending,4,33876,169,0,0,169,33707
rescore_pending,623,1,rescore_pending,6,33882,169,0,0,169,33713
rescore_pending,624,1,rescore_pending,10,33892,169,0,0,169,33723
rescore_pending,625,1,rescore_pending,24,33916,169,0,0,169,33747
rescore_pending,626,1,rescore_pending,6,33922,169,0,0,169,33753
rescore_pending,627,1,rescore_pending,4,33926,169,0,0,169,33757
rescore_pending,628,1,rescore_pending,6,33932,169,0,0,169,33763
rescore_pending,629,1,rescore_pending,20,33952,169,0,0,169,33783
rescore_pending,630,1,rescore_pending,150,34102,170,1,1,170,33932
rescore_pending,631,1,rescore_pending,12,34114,170,0,0,170,33944
rescore_pending,632,1,rescore_pending,8,34122,170,0,0,170,33952
rescore_pending,633,1,rescore_pending,8,34130,170,0,0,170,33960
rescore_pending,634,1,rescore_pending,10,34140,170,0,0,170,33970
rescore_pending,635,1,rescore_pending,16,34156,170,0,0,170,33986
rescore_pending,636,1,rescore_pending,12,34168,170,0,0,170,33998
rescore_pending,637,1,rescore_pending,3390,37558,187,17,17,187,37371
rescore_pending,638,1,rescore_pending,14,37572,187,0,0,187,37385
rescore_pending,639,1,rescore_pending,14,37586,187,0,0,187,37399
rescore_pending,640,1,rescore_pending,1398,38984,194,7,7,194,38790
rescore_pending,641,1,rescore_pending,10,38994,194,0,0,194,38800
rescore_pending,642,1,rescore_pending,1141,40135,200,6,6,200,39935
rescore_pending,643,1,rescore_pending,14,40149,200,0,0,200,39949
rescore_pending,644,1,rescore_pending,2267,42416,212,12,12,212,42204
rescore_pending,645,2,rescore_pending,10,42426,212,0,0,212,42214
rescore_pending,646,2,rescore_pending,20,42446,212,0,0,212,42234
rescore_pending,647,2,rescore_pending,10,42456,212,0,0,212,42244
rescore_pending,648,2,rescore_pending,14,42470,212,0,0,212,42258
rescore_pending,649,2,rescore_pending,263,42733,213,1,1,213,42520
rescore_pending,650,2,rescore_pending,16,42749,213,0,0,213,42536
rescore_pending,651,2,rescore_pending,10,42759,213,0,0,213,42546
rescore_pending,652,2,rescore_pending,14,42773,213,0,0,213,42560
rescore_pending,653,2,rescore_pending,8,42781,213,0,0,213,42568
rescore_pending,654,2,rescore_pending,8,42789,213,0,0,213,42576
rescore_pending,655,2,rescore_pending,4,42793,213,0,0,213,42580
rescore_pending,656,2,rescore_pending,1965,44758,223,10,10,223,44535
rescore_pending,657,2,rescore_pending,10,44768,223,0,0,223,44545
rescore_pending,658,2,rescore_pending,14,44782,223,0,0,223,44559
rescore_pending,659,2,rescore_pending,2500,47282,236,13,13,236,47046
rescore_pending,660,2,rescore_pending,12,47294,236,0,0,236,47058
rescore_pending,661,2,rescore_pending,4877,52171,260,24,24,260,51911
rescore_pending,662,2,rescore_pending,2,52173,260,0,0,260,51913
rescore_pending,663,2,rescore_pending,10,52183,260,0,0,260,51923
rescore_pending,664,2,rescore_pending,1125,53308,266,6,6,266,53042
rescore_pending,665,2,rescore_pending,10,53318,266,0,0,266,53052
rescore_pending,666,2,rescore_pending,6,53324,266,0,0,266,53058
rescore_pending,667,2,rescore_pending,1400,54724,273,7,7,273,54451
rescore_pending,668,2,rescore_pending,8,54732,273,0,0,273,54459
rescore_pending,669,2,rescore_pending,322,55054,275,2,2,275,54779
rescore_pending,670,2,rescore_pending,1906,56960,284,9,9,284,56676
rescore_pending,671,2,rescore_pending,18,56978,284,0,0,284,56694
rescore_pending,672,2,rescore_pending,153,57131,285,1,1,285,56846
rescore_pending,673,2,rescore_pending,445,57576,287,2,2,287,57289
rescore_pending,674,2,rescore_pending,14,57590,287,0,0,287,57303
rescore_pending,675,2,rescore_pending,30,57620,288,1,1,288,57332
rescore_pending,676,2,rescore_pending,8,57628,288,0,0,288,57340
rescore_pending,677,2,rescore_pending,8,57636,288,0,0,288,57348
rescore_pending,678,2,rescore_pending,6,57642,288,0,0,288,57354
