step,active_regime,max_pending_cases,transactions,cumulative_transactions,cumulative_entitlement,new_slots_available,selected_this_step,selected_cumulative,evicted_this_step,evicted_cumulative,pending_after_selection_and_cap
628,1,5000,6,33932,169,0,0,169,6,28763,5000
629,1,5000,20,33952,169,0,0,169,20,28783,5000
630,1,5000,150,34102,170,1,1,170,149,28932,5000
631,1,5000,12,34114,170,0,0,170,12,28944,5000
632,1,5000,8,34122,170,0,0,170,8,28952,5000
633,1,5000,8,34130,170,0,0,170,8,28960,5000
634,1,5000,10,34140,170,0,0,170,10,28970,5000
635,1,5000,16,34156,170,0,0,170,16,28986,5000
636,1,5000,12,34168,170,0,0,170,12,28998,5000
637,1,5000,3390,37558,187,17,17,187,3373,32371,5000
638,1,5000,14,37572,187,0,0,187,14,32385,5000
639,1,5000,14,37586,187,0,0,187,14,32399,5000
640,1,5000,1398,38984,194,7,7,194,1391,33790,5000
641,1,5000,10,38994,194,0,0,194,10,33800,5000
642,1,5000,1141,40135,200,6,6,200,1135,34935,5000
643,1,5000,14,40149,200,0,0,200,14,34949,5000
644,1,5000,2267,42416,212,12,12,212,2255,37204,5000
645,2,5000,10,42426,212,0,0,212,10,37214,5000
646,2,5000,20,42446,212,0,0,212,20,37234,5000
647,2,5000,10,42456,212,0,0,212,10,37244,5000
648,2,5000,14,42470,212,0,0,212,14,37258,5000
649,2,5000,263,42733,213,1,1,213,262,37520,5000
650,2,5000,16,42749,213,0,0,213,16,37536,5000
651,2,5000,10,42759,213,0,0,213,10,37546,5000
652,2,5000,14,42773,213,0,0,213,14,37560,5000
653,2,5000,8,42781,213,0,0,213,8,37568,5000
654,2,5000,8,42789,213,0,0,213,8,37576,5000
655,2,5000,4,42793,213,0,0,213,4,37580,5000
656,2,5000,1965,44758,223,10,10,223,1955,39535,5000
657,2,5000,10,44768,223,0,0,223,10,39545,5000
658,2,5000,14,44782,223,0,0,223,14,39559,5000
659,2,5000,2500,47282,236,13,13,236,2487,42046,5000
660,2,5000,12,47294,236,0,0,236,12,42058,5000
661,2,5000,4877,52171,260,24,24,260,4853,46911,5000
662,2,5000,2,52173,260,0,0,260,2,46913,5000
663,2,5000,10,52183,260,0,0,260,10,46923,5000
664,2,5000,1125,53308,266,6,6,266,1119,48042,5000
665,2,5000,10,53318,266,0,0,266,10,48052,5000
666,2,5000,6,53324,266,0,0,266,6,48058,5000
667,2,5000,1400,54724,273,7,7,273,1393,49451,5000
668,2,5000,8,54732,273,0,0,273,8,49459,5000
669,2,5000,322,55054,275,2,2,275,320,49779,5000
670,2,5000,1906,56960,284,9,9,284,1897,51676,5000
671,2,5000,18,56978,284,0,0,284,18,51694,5000
672,2,5000,153,57131,285,1,1,285,152,51846,5000
673,2,5000,445,57576,287,2,2,287,443,52289,5000
674,2,5000,14,57590,287,0,0,287,14,52303,5000
675,2,5000,30,57620,288,1,1,288,29,52332,5000
676,2,5000,8,57628,288,0,0,288,8,52340,5000
677,2,5000,8,57636,288,0,0,288,8,52348,5000
678,2,5000,6,57642,288,0,0,288,6,52354,5000
679,2,5000,72,57714,288,0,0,288,72,52426,5000
680,2,5000,22,57736,288,0,0,288,22,52448,5000
681,2,5000,4703,62439,312,24,24,312,4679,57127,5000
682,2,5000,6,62445,312,0,0,312,6,57133,5000
683,2,5000,2192,64637,323,11,11,323,2181,59314,5000
684,2,5000,4562,69199,345,22,22,345,4540,63854,5000
685,2,5000,14,69213,346,1,1,346,13,63867,5000
686,2,5000,4689,73902,369,23,23,369,4666,68533,5000
687,2,5000,8040,81942,409,40,40,409,8000,76533,5000
688,2,5000,7885,89827,449,40,40,449,7845,84378,5000
689,2,5000,14,89841,449,0,0,449,14,84392,5000
690,2,5000,4972,94813,474,25,25,474,4947,89339,5000
691,2,5000,4809,99622,498,24,24,498,4785,94124,5000
692,2,5000,6898,106520,532,34,34,532,6864,100988,5000
693,2,5000,4,106524,532,0,0,532,4,100992,5000
694,2,5000,2664,109188,545,13,13,545,2651,103643,5000
695,3,5000,2827,112015,560,15,15,560,2812,106455,5000
696,3,5000,6,112021,560,0,0,560,6,106461,5000
697,3,5000,12,112033,560,0,0,560,12,106473,5000
698,3,5000,65,112098,560,0,0,560,65,106538,5000
699,3,5000,55,112153,560,0,0,560,55,106593,5000
700,3,5000,6,112159,560,0,0,560,6,106599,5000
701,3,5000,18,112177,560,0,0,560,18,106617,5000
702,3,5000,14,112191,560,0,0,560,14,106631,5000
703,3,5000,8,112199,560,0,0,560,8,106639,5000
704,3,5000,16,112215,561,1,1,561,15,106654,5000
705,3,5000,2362,114577,572,11,11,572,2351,109005,5000
706,3,5000,4,114581,572,0,0,572,4,109009,5000
707,3,5000,309,114890,574,2,2,574,307,109316,5000
708,3,5000,4,114894,574,0,0,574,4,109320,5000
709,3,5000,2313,117207,586,12,12,586,2301,111621,5000
710,3,5000,1788,118995,594,8,8,594,1780,113401,5000
711,3,5000,8,119003,595,1,1,595,7,113408,5000
712,3,5000,23,119026,595,0,0,595,23,113431,5000
713,3,5000,8,119034,595,0,0,595,8,113439,5000
714,3,5000,681,119715,598,3,3,598,678,114117,5000
715,3,5000,1879,121594,607,9,9,607,1870,115987,5000
716,3,5000,140,121734,608,1,1,608,139,116126,5000
717,3,5000,632,122366,611,3,3,611,629,116755,5000
718,3,5000,918,123284,616,5,5,616,913,117668,5000
719,3,5000,14,123298,616,0,0,616,14,117682,5000
720,3,5000,10,123308,616,0,0,616,10,117692,5000
721,3,5000,4,123312,616,0,0,616,4,117696,5000
722,3,5000,10,123322,616,0,0,616,10,117706,5000
723,3,5000,14,123336,616,0,0,616,14,117720,5000
724,3,5000,14,123350,616,0,0,616,14,117734,5000
725,3,5000,4,123354,616,0,0,616,4,117738,5000
726,3,5000,22,123376,616,0,0,616,22,117760,5000
727,3,5000,12,123388,616,0,0,616,12,117772,5000
728,3,5000,10,123398,616,0,0,616,10,117782,5000
729,3,5000,4,123402,617,1,1,617,3,117785,5000
730,3,5000,28,123430,617,0,0,617,28,117813,5000
731,3,5000,16,123446,617,0,0,617,16,117829,5000
732,3,5000,10,123456,617,0,0,617,10,117839,5000
733,3,5000,10,123466,617,0,0,617,10,117849,5000
734,3,5000,8,123474,617,0,0,617,8,117857,5000
735,3,5000,12,123486,617,0,0,617,12,117869,5000
736,3,5000,14,123500,617,0,0,617,14,117883,5000
737,3,5000,10,123510,617,0,0,617,10,117893,5000
738,3,5000,10,123520,617,0,0,617,10,117903,5000
739,3,5000,10,123530,617,0,0,617,10,117913,5000
740,3,5000,6,123536,617,0,0,617,6,117919,5000
741,3,5000,22,123558,617,0,0,617,22,117941,5000
742,3,5000,14,123572,617,0,0,617,14,117955,5000
743,3,5000,8,123580,617,0,0,617,8,117963,5000
595,1,10000,5434,5434,27,27,27,27,0,0,5407
596,1,10000,9319,14753,73,46,46,73,4680,4680,10000
597,1,10000,2486,17239,86,13,13,86,2473,7153,10000
598,1,10000,934,18173,90,4,4,90,930,8083,10000
599,1,10000,1816,19989,99,9,9,99,1807,9890,10000
600,1,10000,18,20007,100,1,1,100,17,9907,10000
601,1,10000,865,20872,104,4,4,104,861,10768,10000
602,1,10000,8,20880,104,0,0,104,8,10776,10000
603,1,10000,12,20892,104,0,0,104,12,10788,10000
604,1,10000,8,20900,104,0,0,104,8,10796,10000
605,1,10000,16,20916,104,0,0,104,16,10812,10000
606,1,10000,14,20930,104,0,0,104,14,10826,10000
607,1,10000,8,20938,104,0,0,104,8,10834,10000
608,1,10000,1082,22020,110,6,6,110,1076,11910,10000
609,1,10000,8,22028,110,0,0,110,8,11918,10000
610,1,10000,1199,23227,116,6,6,116,1193,13111,10000
611,1,10000,14,23241,116,0,0,116,14,13125,10000
612,1,10000,2677,25918,129,13,13,129,2664,15789,10000
613,1,10000,45,25963,129,0,0,129,45,15834,10000
614,1,10000,1278,27241,136,7,7,136,1271,17105,10000
615,1,10000,8,27249,136,0,0,136,8,17113,10000
616,1,10000,6,27255,136,0,0,136,6,17119,10000
617,1,10000,2680,29935,149,13,13,149,2667,19786,10000
618,1,10000,8,29943,149,0,0,149,8,19794,10000
619,1,10000,2800,32743,163,14,14,163,2786,22580,10000
620,1,10000,8,32751,163,0,0,163,8,22588,10000
621,1,10000,1121,33872,169,6,6,169,1115,23703,10000
622,1,10000,4,33876,169,0,0,169,4,23707,10000
623,1,10000,6,33882,169,0,0,169,6,23713,10000
624,1,10000,10,33892,169,0,0,169,10,23723,10000
625,1,10000,24,33916,169,0,0,169,24,23747,10000
626,1,10000,6,33922,169,0,0,169,6,23753,10000
627,1,10000,4,33926,169,0,0,169,4,23757,10000
628,1,10000,6,33932,169,0,0,169,6,23763,10000
629,1,10000,20,33952,169,0,0,169,20,23783,10000
630,1,10000,150,34102,170,1,1,170,149,23932,10000
631,1,10000,12,34114,170,0,0,170,12,23944,10000
632,1,10000,8,34122,170,0,0,170,8,23952,10000
633,1,10000,8,34130,170,0,0,170,8,23960,10000
634,1,10000,10,34140,170,0,0,170,10,23970,10000
635,1,10000,16,34156,170,0,0,170,16,23986,10000
636,1,10000,12,34168,170,0,0,170,12,23998,10000
637,1,10000,3390,37558,187,17,17,187,3373,27371,10000
638,1,10000,14,37572,187,0,0,187,14,27385,10000
639,1,10000,14,37586,187,0,0,187,14,27399,10000
640,1,10000,1398,38984,194,7,7,194,1391,28790,10000
641,1,10000,10,38994,194,0,0,194,10,28800,10000
642,1,10000,1141,40135,200,6,6,200,1135,29935,10000
643,1,10000,14,40149,200,0,0,200,14,29949,10000
644,1,10000,2267,42416,212,12,12,212,2255,32204,10000
645,2,10000,10,42426,212,0,0,212,10,32214,10000
646,2,10000,20,42446,212,0,0,212,20,32234,10000
647,2,10000,10,42456,212,0,0,212,10,32244,10000
648,2,10000,14,42470,212,0,0,212,14,32258,10000
649,2,10000,263,42733,213,1,1,213,262,32520,10000
650,2,10000,16,42749,213,0,0,213,16,32536,10000
651,2,10000,10,42759,213,0,0,213,10,32546,10000
652,2,10000,14,42773,213,0,0,213,14,32560,10000
653,2,10000,8,42781,213,0,0,213,8,32568,10000
654,2,10000,8,42789,213,0,0,213,8,32576,10000
655,2,10000,4,42793,213,0,0,213,4,32580,10000
656,2,10000,1965,44758,223,10,10,223,1955,34535,10000
657,2,10000,10,44768,223,0,0,223,10,34545,10000
658,2,10000,14,44782,223,0,0,223,14,34559,10000
659,2,10000,2500,47282,236,13,13,236,2487,37046,10000
660,2,10000,12,47294,236,0,0,236,12,37058,10000
661,2,10000,4877,52171,260,24,24,260,4853,41911,10000
662,2,10000,2,52173,260,0,0,260,2,41913,10000
663,2,10000,10,52183,260,0,0,260,10,41923,10000
664,2,10000,1125,53308,266,6,6,266,1119,43042,10000
665,2,10000,10,53318,266,0,0,266,10,43052,10000
666,2,10000,6,53324,266,0,0,266,6,43058,10000
667,2,10000,1400,54724,273,7,7,273,1393,44451,10000
668,2,10000,8,54732,273,0,0,273,8,44459,10000
669,2,10000,322,55054,275,2,2,275,320,44779,10000
670,2,10000,1906,56960,284,9,9,284,1897,46676,10000
671,2,10000,18,56978,284,0,0,284,18,46694,10000
672,2,10000,153,57131,285,1,1,285,152,46846,10000
673,2,10000,445,57576,287,2,2,287,443,47289,10000
674,2,10000,14,57590,287,0,0,287,14,47303,10000
675,2,10000,30,57620,288,1,1,288,29,47332,10000
676,2,10000,8,57628,288,0,0,288,8,47340,10000
677,2,10000,8,57636,288,0,0,288,8,47348,10000
678,2,10000,6,57642,288,0,0,288,6,47354,10000
679,2,10000,72,57714,288,0,0,288,72,47426,10000
680,2,10000,22,57736,288,0,0,288,22,47448,10000
681,2,10000,4703,62439,312,24,24,312,4679,52127,10000
682,2,10000,6,62445,312,0,0,312,6,52133,10000
683,2,10000,2192,64637,323,11,11,323,2181,54314,10000
684,2,10000,4562,69199,345,22,22,345,4540,58854,10000
685,2,10000,14,69213,346,1,1,346,13,58867,10000
686,2,10000,4689,73902,369,23,23,369,4666,63533,10000
687,2,10000,8040,81942,409,40,40,409,8000,71533,10000
688,2,10000,7885,89827,449,40,40,449,7845,79378,10000
689,2,10000,14,89841,449,0,0,449,14,79392,10000
690,2,10000,4972,94813,474,25,25,474,4947,84339,10000
691,2,10000,4809,99622,498,24,24,498,4785,89124,10000
692,2,10000,6898,106520,532,34,34,532,6864,95988,10000
693,2,10000,4,106524,532,0,0,532,4,95992,10000
694,2,10000,2664,109188,545,13,13,545,2651,98643,10000
695,3,10000,2827,112015,560,15,15,560,2812,101455,10000
696,3,10000,6,112021,560,0,0,560,6,101461,10000
697,3,10000,12,112033,560,0,0,560,12,101473,10000
698,3,10000,65,112098,560,0,0,560,65,101538,10000
699,3,10000,55,112153,560,0,0,560,55,101593,10000
700,3,10000,6,112159,560,0,0,560,6,101599,10000
701,3,10000,18,112177,560,0,0,560,18,101617,10000
702,3,10000,14,112191,560,0,0,560,14,101631,10000
703,3,10000,8,112199,560,0,0,560,8,101639,10000
704,3,10000,16,112215,561,1,1,561,15,101654,10000
705,3,10000,2362,114577,572,11,11,572,2351,104005,10000
706,3,10000,4,114581,572,0,0,572,4,104009,10000
707,3,10000,309,114890,574,2,2,574,307,104316,10000
708,3,10000,4,114894,574,0,0,574,4,104320,10000
709,3,10000,2313,117207,586,12,12,586,2301,106621,10000
710,3,10000,1788,118995,594,8,8,594,1780,108401,10000
711,3,10000,8,119003,595,1,1,595,7,108408,10000
712,3,10000,23,119026,595,0,0,595,23,108431,10000
713,3,10000,8,119034,595,0,0,595,8,108439,10000
714,3,10000,681,119715,598,3,3,598,678,109117,10000
715,3,10000,1879,121594,607,9,9,607,1870,110987,10000
716,3,10000,140,121734,608,1,1,608,139,111126,10000
717,3,10000,632,122366,611,3,3,611,629,111755,10000
718,3,10000,918,123284,616,5,5,616,913,112668,10000
719,3,10000,14,123298,616,0,0,616,14,112682,10000
720,3,10000,10,123308,616,0,0,616,10,112692,10000
721,3,10000,4,123312,616,0,0,616,4,112696,10000
722,3,10000,10,123322,616,0,0,616,10,112706,10000
723,3,10000,14,123336,616,0,0,616,14,112720,10000
724,3,10000,14,123350,616,0,0,616,14,112734,10000
725,3,10000,4,123354,616,0,0,616,4,112738,10000
726,3,10000,22,123376,616,0,0,616,22,112760,10000
727,3,10000,12,123388,616,0,0,616,12,112772,10000
728,3,10000,10,123398,616,0,0,616,10,112782,10000
729,3,10000,4,123402,617,1,1,617,3,112785,10000
730,3,10000,28,123430,617,0,0,617,28,112813,10000
731,3,10000,16,123446,617,0,0,617,16,112829,10000
732,3,10000,10,123456,617,0,0,617,10,112839,10000
733,3,10000,10,123466,617,0,0,617,10,112849,10000
734,3,10000,8,123474,617,0,0,617,8,112857,10000
735,3,10000,12,123486,617,0,0,617,12,112869,10000
736,3,10000,14,123500,617,0,0,617,14,112883,10000
737,3,10000,10,123510,617,0,0,617,10,112893,10000
738,3,10000,10,123520,617,0,0,617,10,112903,10000
739,3,10000,10,123530,617,0,0,617,10,112913,10000
740,3,10000,6,123536,617,0,0,617,6,112919,10000
741,3,10000,22,123558,617,0,0,617,22,112941,10000
742,3,10000,14,123572,617,0,0,617,14,112955,10000
743,3,10000,8,123580,617,0,0,617,8,112963,10000
595,1,25000,5434,5434,27,27,27,27,0,0,5407
596,1,25000,9319,14753,73,46,46,73,0,0,14680
597,1,25000,2486,17239,86,13,13,86,0,0,17153
598,1,25000,934,18173,90,4,4,90,0,0,18083
599,1,25000,1816,19989,99,9,9,99,0,0,19890
600,1,25000,18,20007,100,1,1,100,0,0,19907
601,1,25000,865,20872,104,4,4,104,0,0,20768
602,1,25000,8,20880,104,0,0,104,0,0,20776
603,1,25000,12,20892,104,0,0,104,0,0,20788
604,1,25000,8,20900,104,0,0,104,0,0,20796
605,1,25000,16,20916,104,0,0,104,0,0,20812
606,1,25000,14,20930,104,0,0,104,0,0,20826
607,1,25000,8,20938,104,0,0,104,0,0,20834
608,1,25000,1082,22020,110,6,6,110,0,0,21910
609,1,25000,8,22028,110,0,0,110,0,0,21918
610,1,25000,1199,23227,116,6,6,116,0,0,23111
611,1,25000,14,23241,116,0,0,116,0,0,23125
612,1,25000,2677,25918,129,13,13,129,789,789,25000
613,1,25000,45,25963,129,0,0,129,45,834,25000
614,1,25000,1278,27241,136,7,7,136,1271,2105,25000
615,1,25000,8,27249,136,0,0,136,8,2113,25000
616,1,25000,6,27255,136,0,0,136,6,2119,25000
617,1,25000,2680,29935,149,13,13,149,2667,4786,25000
618,1,25000,8,29943,149,0,0,149,8,4794,25000
619,1,25000,2800,32743,163,14,14,163,2786,7580,25000
620,1,25000,8,32751,163,0,0,163,8,7588,25000
621,1,25000,1121,33872,169,6,6,169,1115,8703,25000
622,1,25000,4,33876,169,0,0,169,4,8707,25000
623,1,25000,6,33882,169,0,0,169,6,8713,25000
624,1,25000,10,33892,169,0,0,169,10,8723,25000
625,1,25000,24,33916,169,0,0,169,24,8747,25000
626,1,25000,6,33922,169,0,0,169,6,8753,25000
627,1,25000,4,33926,169,0,0,169,4,8757,25000
628,1,25000,6,33932,169,0,0,169,6,8763,25000
629,1,25000,20,33952,169,0,0,169,20,8783,25000
630,1,25000,150,34102,170,1,1,170,149,8932,25000
631,1,25000,12,34114,170,0,0,170,12,8944,25000
632,1,25000,8,34122,170,0,0,170,8,8952,25000
633,1,25000,8,34130,170,0,0,170,8,8960,25000
634,1,25000,10,34140,170,0,0,170,10,8970,25000
635,1,25000,16,34156,170,0,0,170,16,8986,25000
636,1,25000,12,34168,170,0,0,170,12,8998,25000
637,1,25000,3390,37558,187,17,17,187,3373,12371,25000
638,1,25000,14,37572,187,0,0,187,14,12385,25000
639,1,25000,14,37586,187,0,0,187,14,12399,25000
640,1,25000,1398,38984,194,7,7,194,1391,13790,25000
641,1,25000,10,38994,194,0,0,194,10,13800,25000
642,1,25000,1141,40135,200,6,6,200,1135,14935,25000
643,1,25000,14,40149,200,0,0,200,14,14949,25000
